1.wav|ŋu lɔ-hɔ-ɦəʔ , noŋ-ɲi ?
1850.wav|iɔ1=məʔ ci " tʰəʔ=kʰʷɑ ɦiɤ=ɟi " məŋ-ʦɔ1 zy kʰu=i tɔ .
1851.wav|ci=ɟi=ɲɪɲ , sɤ1=ɟi=ɲɪɲ di=ʦz sɪɲ=mɪɲ vəʔ=iɔ1 di1=fe1=tʰəʔ !
1852.wav|ɦiɤ=ʦəŋ pi=mo vəʔ=iɔ1 mɑ̃=ci siɑ !
1853.wav|ŋu-we ɦiɤ=ʦã we=kʰʷø te , lɐʔ=noŋ gəʔ=tɐʔ lɪɲ ʦʰɔ=pʰiɔ zz vɐʔ ?
1854.wav|noŋ səŋ1-vəŋ1 ʦəŋ=tɑ le vɐʔ ?
1855.wav|səŋ1-vəŋ1 ʦəŋ=ɦɔ ŋu i=cɪɲ di1-hɔ 'ləʔ , kʰu=i lɪɲ=mɑ ?
1856.wav|te=vəʔ=cʰi , m-məʔ səŋ1-vəŋ1 ʦəŋ=zz vəʔ hɔ lɪɲ=we=kʰʷø gəʔ .
1857.wav|si1-sã1 , ŋu=iɔ1 zəŋ ʦʰɔ=pʰiɔ , nɑ-nəŋ zəŋ=fɐʔ ?
1858.wav|noŋ=iɔ1 zəŋ wəʔ-ɟi=zəŋ=kʰʷø , ɦe-zz dɪɲ-ɟi=zəŋ=kʰʷø ?
1859.wav|ɑ1-'lɑ gəʔ=tɐʔ ɦiɤ ŋɑ=bi zəŋ-mɪɲ-bi dɪɲ-ɟi ɪʔ=pəŋ tʰoŋ1 , ɦɑ-ɦiɤ wəʔ-ɟi ɪʔ=pəŋ tʰoŋ1 .
186.wav|ci-zo ci-zo , məʔ-ʦz ze tɑ zi 'ləʔ vɐʔ .
1860.wav|wəʔ-ɟi ʦʰy=kʰʷø məʔ , noŋ kʰu=i zø=bi sɑ=gəʔ=zəŋ-kʷɑ̃1 ɦioŋ ŋã kʰɑ-'lɑ .
1861.wav|noŋ kʰu=i tɔ=ɦiɤ " ɲɪɲ=li " piɔ=ʦz gəʔ  ci li cʰi1 'ne ʦʰɔ=pʰiɔ .
1862.wav|gəʔ ʦã=kʰɑ pəʔ=noŋ , ɑ1-'lɑ ɲɪɲ-ɦɑ̃ ɦiɤ ɲie=sz siɔ=zz zz=doŋ voʔ=vu=gəʔ .
1863.wav|kəʔ=məʔ ŋã=kʰɑ nɑ-nəŋ ɦioŋ=fɐʔ ɲi ?
1864.wav|ʦʰɐʔ ʦɪɲ-cʰi , kʰø1 ɦi səʔ-mɪɲ ʦʰɔ1=ʦoʔ tã zy=zz 'ləʔ .
1865.wav|ʦʰɪɲ=vəŋ , ŋu=iɔ1 'ne 'me=ɲiø diɔ zəŋ-mɪɲ-bi , gəʔ=tɐʔ hɔ=diɔ pəʔ ŋu vɐʔ ?
1866.wav|ɦi=le zəʔ-bi kɔ zəŋ-mɪɲ-bi gəʔ de-wø=lɪʔ zz tu1=sɔ ?
1867.wav|ʦʰɪɲ=noŋ 'ne gəʔ ʦã ly-ɦɪɲ=ʦz1=pʰiɔ diɔ-zəŋ ɦi=ʦʰɔ .
1868.wav|ʦʰɪɲ=noŋ gəʔ=tɐʔ ʦʰi ku-zz .
1869.wav|ɪʔ-goŋ1 zz ʦʰɪʔ=ʦʰi1=ŋ-pɐʔ sz-səʔ ɲi-kʰʷe , noŋ ti ɪʔ=ti .
187.wav|ŋu ze ci-zo ku-liɔ .
1870.wav|ʦʰɪɲ=noŋ pɑ̃ ŋu=wø ɪʔ=ti lɪɲ=se=ʦʰɔ=pʰiɔ hɔ=vɐʔ ?
1871.wav|ŋu=iɔ1 tã ʦəʔ1 di=ɦo pəʔ ŋu nø-ŋ .
1872.wav|gəʔ zz=zz doŋ dɤ=bi di=ɦo , ɦioŋ ɪʔ=kʰʷe ŋã=bi le tã-ku .
1873.wav|zã-foŋ ve=ti zz vɐʔ ? ʦʰɪɲ=ʦø  fəŋ-ci .1
1874.wav|lɔ=wɑ̃ , ɦiɤ di=ɦo zɪɲ 'ni .
1875.wav|ʦʰɪɲ məŋ-noŋ ɑ1=zz loʔ=mɪɲ sz=ti gəʔ lɔ pe ?
1876.wav|noŋ səŋ-ɪɲ1 du-ɪʔ-ti , ŋu tʰɪɲ vəʔ ʦʰəʔ !
1877.wav|te=vəʔ=cʰi , məʔ-ɲɪɲ ʦɪʔ=di=ɦo . dɑ-ke ɦi ʦʰəʔ-cʰi 'ləʔ vɐʔ .
1878.wav|ʦʰɪɲ=noŋ kɔ=su li=mɪɲ si1-sã1 , ciã=ŋu=zəʔ=ti=ʦoŋ tã=ku ɪʔ ʦɐʔ1 di=ɦo pəʔ ɦi .
1879.wav|məŋ-ʦɔ1 ʦoŋ1=lɑ̃=ɕiã ciɔ ɦi tã pəʔ ŋu ʦəʔ1 di ɦo .
188.wav|pɑ̃=ŋu='ne=kɐʔ=ʦəʔ pɑ1-pi=uɑ1=uɑ1 tɑ po noŋ-ku siɔ=ɲɪɲ .
1880.wav|sɔ-vi təŋ=ɪʔ=ɕiɪʔ , ɦi mo-zɑ̃ le ʦɪʔ=di=ɦo .
1881.wav|ue , ʦã=siɔ=zɪɲ lɐʔ=lɐʔ oʔ=li vɐʔ ? mo=ve noŋ-ciɔ ɦi tʰɪɲ tʰɪɲ di ɦo .
1882.wav|te=vəʔ=cʰi , noŋ tã=ʦʰu di=ɦo 'ləʔ .
1883.wav|dɑ-ʦoŋ ʦʰəʔ=ʦu1 cʰi-ʦʰo koŋ1=sz1 gəʔ di=ɦo ɦɔ=mo zz sɑ ?
1884.wav|ue , ŋu iɔ1-ciɔ bu ʦʰɑ1=dɤ , ɦi=le tɔ ɦo-se1 lu  loŋ  ɦɔ məŋ=kʰɤ .
1885.wav|ziɑ=ziɑ=noŋ vəʔ=iɔ1 lɐʔ ʦʰo-siã li ɦo-'lɑ ɦo-'lɑ tã=sɤ ci1 , kʰu=i ke=fɐʔ tø-sɪɲ vɐʔ !
1886.wav|ue , ʦʰɪɲ vəŋ=ɦi le tʰəʔ ŋu mo-zɑ̃ soŋ ɪʔ-dɪʔ kɔ=ʦz hɔ=vɐʔ ?
1887.wav|hɔ-ku . noŋ zz lɐʔ sɑ=di=fɑ̃ ?
1888.wav|ŋu zy-zz lɐʔ=ɲy ɦiø=lu  loŋ  ɦɔ .
1889.wav|ɑ1-'lɑ pʰɑ-ɲɪɲ pø-ku ʦoŋ=dɤ li=ɕiã tɔ noŋ-ku tɐʔ=le 'ne .
189.wav|ɕi1=mɑ̃ ɦi hʷø=ɕi kɐʔ=ʦɐʔ li-vəʔ .
1890.wav|tu1=sɔ zəŋ-kʷɑ̃1 hɔ soŋ=tɔ ?
1891.wav|noŋ=iɔ1 soŋ=tɔ ɑ1-li tɪʔ ?
1892.wav|ŋu=iɔ1 soŋ=tɔ zɑ̃=he vəŋ=ɲi ʦʰəʔ=pe=zo .
1893.wav|ʦʰɪɲ=noŋ kɔ=su=ŋu ziã-si di=ʦz .
1894.wav|cɪɲ1=ʦɔ1 zɑ̃=pø=tʰi1 zy kʰu=i soŋ=tɔ , kʰʷɑ di=fi=sɤ1  ɲiø ɦiã=di .
1895.wav|kəʔ=məʔ ŋu təŋ lɐʔ=he , noŋ mo-zɑ̃ le ɔ , ʦe-we !
1896.wav|noŋ zz tʰəʔ=ʦe1 ʦø=ɲiɪʔ ʦz1=ŋɑ , ɦe-ɦiɤ sɑ tʰəʔ bɪʔ-ɦəʔ e=hɔ vɐʔ ?
1897.wav|ɕy1-sɪʔ ɲiɪʔ=ciɐʔ noŋ kʰø1 di=zz i=ŋɑ , ɦe hʷø=ɕi sɑ=di=fɑ̃ cʰi ʦø=ʦø ?
1898.wav|pʰɐʔ=ʦɔ , ʦəʔ1=vəʔ=ku zz ŋu ɪʔ ɦɑ̃=ɲiɪʔ z e=hɔ .
1899.wav|gəʔ=tʰɔ zi=bi iɔ1 loŋ=tɔ ziɑ-cʰi ne=gəʔ , noŋ ɦioŋ 'ləʔ tu1=sɔ ʦã gəʔ zəŋ-kʷɑ̃1 loŋ=tɔ ɑ ?
19.wav|vɐʔ ʦʰu , ɪʔ=ʦʰɪʔ zəŋ=li .
190.wav|ɪʔ=lu ʦz=i=ø1=zi .
1900.wav|ŋu ciɐʔ-təʔ zɪʔ=ɦiɤ=zz ɪʔ=ʦoŋ ɦiɤ=ɪʔ gəʔ ɕy1-ɦe .
1901.wav|ŋu vəʔ=hʷø=ɕi bɔ=ʦʰəʔ-cʰi bɐʔ=siã1 , zã=ʦɑ̃ lɐʔ oʔ=li siã1=pʰɔ1=wu kʰɑ-fi .
1902.wav|ɦi hɔ=ziã te ɪɲ1=loʔ=ɟɪʔ lɔ=sɑ lɔ kø-ɕɪɲ=ʦʰy gəʔ , r-ʦʰiɑ1 ɦe ziɑ-cʰi toŋ=cɪɲ .
1903.wav|ŋu-we zã=ʦɑ̃ kʰø1 zɑ̃=he wɐʔ-ci1 , wəʔ=ʦe ɪʔ-kɑ1-məŋ we=lɔ ʦe1=di=zz=ci1 .
1904.wav|ʦʰo1-mo-ʦiã ŋu ne=pe le=le , ɪɲ1=we ɪʔ zɑ̃ ɲi=dɤ cʰi=le zəŋ-kʷɑ̃1 ze tɐʔ=tʰəʔ .
1905.wav|ŋu ɪʔ=ʦʰɔ1 ci1=zy məʔ=ti gəʔ , ɦiɤ-ɕi tã=tã , doŋ=ɦo=pʰi kʰø1=kʰø1 .
1906.wav|noŋ nɑ-nəŋ ɪʔ ɦiɤ=kʰoŋ1 zy zɑ̃=mɑ̃ , ʦʰoŋ=lɑ̃ kʷø=sz tã  , ɪʔ-ku ɦiɑ=dɤ ze=vɐʔ dɪɲ=gəʔ ?
1907.wav|noŋ=ɦiɤ noŋ-ku e=hɔ , ŋu ɦiɤ ŋu-ɦəʔ ɕɪɲ-ʦʰy , kʷe=noŋ sɑ=zz=tʰi !
1908.wav|ŋu ɦiɤ liã=ʦã dɑ-ɦioʔ pʰiɔ=ʦz lɐʔ=he , cɪɲ1=ʦɔ1 kɔ ŋu ɪʔ=dɔ cʰi dɑ-ɦioʔ cʰi vɐʔ ?
1909.wav|dɑ sɑ=gəʔ ɦioʔ ? sɑ̃1-nɑ ŋu zz pʰo 'məŋ=sɐʔ tʰəʔ=gəʔ , iɔ1=məʔ zy-dɑ sɑ̃=pʰɔ1 .
191.wav|ʦoʔ-noŋ ly=du=z=kʰʷɑ .
1910.wav|noŋ gəʔ-ɦəʔ ɲɪɲ ʦəŋ1=zz gɑ̃ ɟiɐʔ ɟiɐʔ , dɑ dɑ-ɦioʔ , soŋ soŋ cɪɲ1=kʷəʔ , ɦiɤ=ɪʔ ɕyɪʔ=mɐʔ ly=tʰoŋ1 .
1911.wav|pəʔ1-ku ɦi=le kɑ1-kɑ1 oʔ=li ze=ɦiɤ təʔ ɦioʔ=kɑ̃ , dɑ dɑ-ɦioʔ vəʔ zz=me bi tɑ̃-ku ?
1912.wav|liã=ɦiã gəʔ , ɦioʔ=zz li dɑ-ɦioʔ məʔ , ɲɪɲ=pʰɔ1 təʔ le=sɐʔ kəŋ1 
1913.wav|bã=ɦiɤ dɔ li , dɑ-ciɑ1 de=de=sɪɲ1 , lɔ=sɑ̃=gəʔ .
1914.wav|noŋ kʰø1 ɲɪɲ-kɑ1 , ʦu ø=mu lɔ , ʦoʔ=ɦioʔ lɔ , sɤ=səŋ1 lɔ , kø=zz zɑ̃ .
1915.wav|noŋ gəʔ-ɦəʔ ɲɪɲ ʦəŋ1=zz ɐʔ1-moʔ=lɪɲ ɪʔ ʦɐʔ1 , ciɑ 'lɪɲ vəʔ ʦʰɪɲ1 !
1916.wav|ɕy1-ɦe iɔ1 ɕy1 'ləʔ ʦɐʔ=cɪɲ , ɕy1=ʦʰəʔ zɪɲ-diɔ pʰɪɲ=we kɔ1=sz=bɪɲ .
1917.wav|ŋu vəʔ hɔ sɪɲ1=tʰi1=di cʰi-cʰi , sɪɲ1=bo1=kʰəʔ zu=zu , bɔ=bɔ siã1=ɦiã=lu ɑ .
1918.wav|ŋu ɦiɤ-zəŋ-kʷɑ̃1 kəʔ ʦe1 bã=ɦiɤ ʦʰɑ̃ ʦʰɑ̃=ku1 , pʰɔ1=pʰɔ1-bɑ1 .
1919.wav|tɑ̃ ɑ1-'lɑ kø=tɔ zəŋ-kʷɑ̃1 , ɦi lɑ vu i cɪɲ kʰe sz tʰiɔ-cʰi=le 'ləʔ .
192.wav|ɦɤ-we=ɦiɤ-ɟi .
1920.wav|ɪʔ=mi cʰɪʔ cʰɪʔ ɦoŋ-zo kʰɑ-fi , ɪʔ=mi cʰɪʔ cʰɪʔ səʔ-lɐʔ si1=ti , ɪʔ=mi de=de=sɪɲ1 .
1921.wav|ɦiɤ mɑ̃=loʔ ʦoʔ-ciɑ1 ciã=siɑ ʦoʔ ci=wɐʔ , ɦɑ-ɦiɤ siɔ cʰi=ɲiɪʔ=ciɑ1 de ʦoŋ=ʦoŋ fɐʔ=ze=cɪɲ .
1922.wav|" lɔ zɑ̃=he " pʰɑ te li , ci-ku lɔ kʰəʔ-'lɑ vəʔ de ʦʰɑ̃=cʰi bɪɲ=de səŋ1=cʰioʔ .
1923.wav|ŋu ʦʰɑ̃ kʰɑ-'lɑ  , zoŋ-siɔ zəŋ-kʷɑ̃ ku1=ʦʰɑ̃1 cʰi , ɪʔ=zəʔ ʦʰɑ̃ tɔ cɪɲ-ku .1
1924.wav|lɔ kʰəʔ-'lɑ ciã , vəʔ kʷø ɦi sɑ-zəŋ-kʷɑ̃1 sɑ zz=zɑ̃ .
1925.wav|sɪɲ1=kʰoʔ ɪʔ=zoʔ pʰɑ te lɐʔ=lɐʔ zo bɑ1 li kʰe , sz-ku ɲɪɲ ɲiɤ=bi ʦʰø1 ʦʰø1 .
1926.wav|noŋ vəʔ=ɕiɔ=təʔ zɑ̃=he ɦiɤ koʔ=səʔ koʔ=ɦiã gəʔ " bɑ1 " , noŋ-ɦiɤ gɑ̃=tʰəʔ !
1927.wav|zɑ̃=he sɪɲ1=hɔ nø-ɲɪɲ , ɦiɤ-we pʰɪɲ1=mɪɲ koŋ1=ʦoʔ , ɦiɤ we-ʦiã ɕy1-ɦe ʦɪɲ-ɦɪɲ=tɔ=ti .
1928.wav|zz=ku zəŋ-kʷɑ̃1 ɦiɤ ʦʰɔ=pʰiɔ kɤ , ŋu=iɔ1 tɔ ɤ=ʦɤ1 cʰi ly=ɦiɤ .
1929.wav|hã1-pɐʔ-lã-tã ŋu gəʔ=tʰɑ̃1 ly=zəŋ sy1=iɔ1 zəʔ-ɲi=tʰi1 .
193.wav|hʷø=ɲɪɲ=noŋ ʦe le , ʦe-we .
1930.wav|ʦoʔ-noŋ ɪʔ lu=lɑ̃=ɕiã bɐʔ=siã1 kʰe=sɪɲ1 .
1931.wav|məŋ-ʦɔ1 iɔ1=doŋ=səŋ1 , de=zz ŋu=tɔ ɦi=le siã1=ʦz ɦe-məʔ ʦəŋ=li hɔ .
1932.wav|ɪʔ=ʦɑ̃ zz=tʰi zz mo-zɑ̃ tɔ ɲɪɲ-ɦɑ̃ li cʰi 'ne ŋe ʦʰɔ=pʰiɔ .
1933.wav|oʔ , ŋu kɑ̃=kɑ̃ siã=cʰi=le , səŋ1-vəŋ1 ʦəŋ vəʔ=iɔ1 mɑ̃-ci-tʰəʔ tɑ .
1934.wav|iɔ1 vəʔ=zz noŋ di-sɪɲ1 ŋu , zø=bi nɑ-nəŋ ɦɑ-siã vəʔ cʰi=le .
1935.wav|ŋu vəʔ=siã ʦʰəŋ cʰi-ʦʰo cʰi , zɪɲ=ɲiø ʦɤ təʔ-cʰi .
1936.wav|noŋ ø1=zi tɔ dɐʔ moʔ=tɪʔ=di i ɦɤ , vəʔ=iɔ1 mɑ̃-ci-tʰəʔ tã ʦəʔ1 di=ɦo kɔ=su=ŋu .
1937.wav|ŋu kʰəŋ=dɪɲ mɑ̃=ci 'ləʔ tɑ ɦiã=se , de=ɦi le i=cɪɲ tʰəʔ e 'ləʔ .
1938.wav|zoʔ=tʰi1 tʰi1=cʰi tʰəʔ hɔ 'ləʔ , su=i ɑ1-'lɑ cyɪʔ=dɪɲ zz-ciɑ1 kʰe-ʦʰo ʦʰəʔ-cʰi bɐʔ=siã1 .
1939.wav|hu ʦʰo-mo zɑ̃ zy=iɔ1 kʰe , ɑ1-'lɑ 'mi-ɟiã kʰu=i kø=tɔ .
194.wav|hɔ bo=cʰi=le 'ləʔ .
1940.wav|zɑ̃=he zəʔ=təʔ cʰi bɐʔ=siã1 gəʔ di=fɑ̃ zəʔ=le tʰəʔ=tu1 .
1941.wav|pəʔ1-ku ɦɑ-ɦiɤ ti di=fɑ̃ məʔ=sɑ cʰi-dɤ .
1942.wav|wɑ̃-pʰu-kɑ̃1 liã=ŋø ʦø hɔ=kʰø1 , kʰu=i zu=lɐʔ=zø li ɦiɤ=le .
1943.wav|noŋ kʰø1 , pʰu=toŋ ɦiɤ kɑ-ɕi-tu1 kɔ1=zəŋ ci=ʦoʔ , ɦe-ɦiɤ toŋ=fɑ̃ mɪɲ=ʦz1 .
1944.wav|ŋu-we zz te=z=ɦiø , zəŋ=wɑ̃ miɔ , zɑ̃=he lɔ=kɑ1 kəŋ1-kɑ1 ɦiɤ-ɕɪɲ-ʦʰy .
1945.wav|lɐʔ ɦi=ø1=lu kɔ1=kɑ kɔ1=dɤ kʰø1 liã=mi gəʔ zɑ̃=he foŋ-kʷɑ̃1 , hɐʔ tiɑ !
1946.wav|ɪʔ-cʰiø tɤ1 we=le , ɦe-hɔ kʰø1=kʰø1 ŋɑ=tʰe ɟɪɲ=de ci=ʦoʔ ɦiɑ-cɪɲ .
1947.wav|su=ʦɤ1=wu zz zɑ̃=he 'mu=ʦʰɪɲ wu , ue=ue=cʰioʔ=cʰioʔ wã-kʰo1 ly=ku zz=ʦoŋ1=sɪɲ1 .
1948.wav|lɔ=ʦɔ su=ʦɤ1=wu u=zø təʔ ɦiɤ həʔ ɦiɤ ʦʰɤ , noŋ kʰu=i kʰø1=kʰø1 zi ci=ɲi gəʔ ɦiã=ʦz .
1949.wav|zi=liã=ɲi zz=ʦəŋ=fu ho1-liɔ dɑ-lɪʔ cʰi , sz=təʔ su=ʦɤ1=wu pi=ʦʰɪɲ1 'ləʔ .
195.wav|sɪɲ1=sɪɲ1 iɑ , i=cɪɲ  ti  fəŋ-liɔ1 .
1950.wav|ʦe=ku ci=ɲi , su=ʦɤ1=wu ɦi=ŋø ʦəŋ1 iɔ1 zəŋ=we zɑ̃=he ɪʔ-diɔ liã=li=gəʔ foŋ-cɪɲ si .
1951.wav|ɦiɤ ku-ɲɪɲ ly=ɦiɤ hʷø=ɕi bɔ-liɔ ɦiø , ɟi-zəʔ zɑ̃=he ciɔ1-cʰy hɔ=bɐʔ=siã1 di=fɑ̃ ɦɑ lɔ tu1-ku .
1952.wav|ɪʔ=tɔ ʦʰəŋ1=tʰi1 , zɑ̃-he-ɲɪɲ ze=siã bɔ=ʦʰəʔ-cʰi se=se=bu , se=se=sɪɲ1 .
1953.wav|soŋ-kɑ̃1 gəʔ ʦø bɐʔ=zz , ʦʰɪɲ1=pʰu gəʔ cʰioʔ=sz ɦiø , kɑ1-dɪɲ gəʔ=ʦʰy1=iɑ pu .
1954.wav|ɦe-ɦiɤ zo=se1 foŋ cɪɲ-cʰy , dɪɲ-se1-wu dɑ-kʷø ɦiø , toŋ=fɑ̃ loʔ=ʦɤ1 lɔ .
1955.wav|ʦø=ɟɪɲ ɦiɤ kʰe=pʰɪʔ 'ləʔ ʦz1=ciɑ1=koʔ ly=ɦiɤ=ti , ʦəŋ=kɔ1 dɤ-ɦəʔ fɑ̃-səŋ1 ɟiɔ=lɪʔ=sz y=cy .
1956.wav|noŋ zz koŋ1=pʰɑ ʦʰəʔ-cʰi , ɦe-zz ɪɲ1=sz1 ʦʰəʔ=kʷəʔ ?
1957.wav|noŋ=iɔ1 ciɔ1=ci=ʦã ʦɔ=pʰi , di1 hɔ=ci ʦã piɔ=kɐʔ , be=hɔ ʦʰi ʦəŋ .
1958.wav|ʦʰi=ʦəŋ tɔ ɦi=le=ɦe m-məʔ 'ne-tɔ , ŋu ʦəŋ1=zz cɪʔ=sɐʔ kʰʷɑ !
1959.wav|ʦʰɪɲ=noŋ 'ne wu=ʦɔ ʦʰəʔ=zz pəʔ ŋu kʰø1=kʰø1 , ɦe-ɦiɤ zəʔ=cɪɲ piɔ=kɐʔ di1-hɔ 'ləʔ vɐʔ ?
196.wav|noŋ vɐʔ zz 'me=tʰi1  ti=ʦoŋ cʰi le-ku mɑ .
1960.wav|noŋ lɐʔ zɑ̃=he iɔ1 təŋ tu1=sɔ zəŋ-kʷɑ̃1 ?
1961.wav|noŋ ʦəŋ=be zoŋ sɑ-ɦəʔ-di-fɑ̃ ʦʰəʔ=cɪɲ ?
1962.wav|noŋ=ɦiɤ sɑ=gəʔ məʔ-zz sy1=iɔ1 ɕiã=he kʷe səŋ1=pɔ vɐʔ ?
1963.wav|ʦʰɪɲ noŋ-zoŋ gəʔ=tɐʔ ʦɤ , e1=mi zz ci-zo de , ci-zo ɦã-li gəʔ di=fɑ̃ .
1964.wav|zɑ̃-he-ɲɪɲ cɪʔ=hʷəŋ1 , ɦiɤ-ku ɲɪɲ-kɑ1 ʦy=sz zã-mi be=təʔ lɔ-dɑ .
1965.wav|fɐʔ=pəʔ hɔ=bã=ɦiɤ gəʔ ʦʰɪɲ=tʰɪʔ lɑ̃=ɦiɤ sɪɲ1=lɑ̃=sɪɲ1=ɲiã ɦəʔ-ɪɲ gəʔ ʦɔ=pʰi .
1966.wav|sɪɲ1=lɑ̃ ɪʔ=mi ɦiɤ bø=lɑ̃ , sɪɲ1=ɲiã ɪʔ=mi ɦiɤ bø=ɲiã .
1967.wav|cɪʔ=hʷəŋ1 ɲi=səʔ kʰe=sz , sɑ̃=fɑ̃ ɦiɑ=ɲiã iɔ1 kɑ̃-ɦe-ɦo , ʦoʔ-wu ɦi lɑ .
1968.wav|ʦəŋ=hʷəŋ1 ɲɪɲ=ʦz wu=zz , sɑ̃=fɑ̃ wu=zəŋ cɪʔ=hʷəŋ1=kɑ=ʦz .
1969.wav|sɪɲ1=hʷəŋ1 vɑ̃ li , ɦiɤ=fɑ̃ ɦoŋ-ʦɔ ho1-səŋ1 kʷe=ɦiø tʰəʔ=ʦe1 ko1-ʦz gəʔ , tʰɔ=gəʔ ʦʰe=dɤ .
197.wav|cɪɲ1=ʦɔ1 nɑ-nəŋ kʰʷəŋ le=ciɐʔ 'ləʔ 'lɑ .
1970.wav|zz=tʰəʔ ʦʰɪɲ=ciø , we-ʦʰɪɲ le 'ləʔ zɑ̃=sz1 , doŋ=zz , dɑ-ɦoʔ ʦoŋ1-ɦoʔ siɔ-ɦoʔ doŋ-ɦoʔ .
1971.wav|nɔ=cʰi sɪɲ1=vɑ̃ le , kʰu=siã=r=ʦz1 iɔ1 nɔ=mã təʔ ɪʔ=tʰɐʔ=wu=du 'ləʔ !
1972.wav|ɦi=le 'lɔ-sz te=vɐʔ , ziɑ-cʰi mi-sɪɲ kʰɔ=sz , məŋ-ʦɔ1 ɦiɤ-iɔ1 kʰɔ sz-liɔ .
1973.wav|'lɔ-sz kɔ ɦiɑ=ɲiã ze=zz kʰɔ=sz mi , ɪʔ=məŋ=sɪɲ1-sz1 ʦʰəʔ kʰɔ=di ke-kʰɔ .
1974.wav|se1-fe=sz=ʦʰz mɑ ʦʰø-kʰɔ=sz , ɕɪɲ=sz=doŋ=ʦoŋ ʦʰɪɲ ciɑ1-ciɔ1 , loŋ təʔ siɔ=nø kʰu təʔ=le ɪʔ=tʰi1=sz=kɑ .
1975.wav|ɦi=le zɑ̃=he kɑ1-kɑ1 ze=zz doʔ-sã1 ʦz-ɲy lɔ , ciɑ1 zã-te siɔ=nø gəʔ doʔ=sz siã1 tɑ̃=kʷe ʦz .
1976.wav|ʦz-ɲy be=ɦiã zi zo-we ze ziɑ-cʰi kʷe=sɪɲ1 , ciɔ1=ɦioʔ iɔ1 ʦɪɲ-ɦɪɲ ke-kəʔ .
1977.wav| sz=ci zo-we , vəʔ toŋ di=nɔ vəʔ toŋ ŋɑ=ɲy uɑ̃=uɑ̃ we bu=bu ne .
1978.wav|su=i ʦəʔ1 kʰø1-ci ɦoʔ-sã1 lɐʔ=lɐʔ tɪʔ=li=tu='lu doʔ=ŋɑ=ɲy , tɪʔ=lɪʔ toʔ loʔ tã=di=nɔ .
1979.wav|pəʔ1-ku , ŋɑ=ɲy , di=nɔ te tu1=su ɲɪɲ le-kɑ̃ , tɔ=ti ɦe-zz ɪʔ-ku sɪɲ1-ɦəʔ zəʔ-vəʔ .
198.wav|kʰʷɑ=ti , kʰʷɑ=ti bo=cʰi=le .
1980.wav|iɔ1 gɔ ʦʰəʔ=ti mɪɲ=dɑ̃ le , te zo-we ɦiɤ=ɦioŋ , ʦø=ɲiɪʔ ɦe-zz iɔ1 ŋã=bã=ŋã gəʔ .
1981.wav|iɔ1 zəŋ=koŋ1 , ɦe-iɔ1 ɦiɤ koʔ=ʦoŋ su=ʦəʔ , ziã ʦʰɑ̃=zɔ=lɪʔ ɑ .
1982.wav|su=ʦɤ1 wu=gəʔ lɔ mɪɲ=zz ciɔ " soŋ-kɑ̃1 " ɦiɤ-ʦʰəŋ " wu-soŋ1-kɑ̃1 " .
1983.wav|kɑ̃1-pi ɦiɤ diɔ-ʦz1 wu , ciɔ " zɑ̃=he pʰu " , zy=zz ɦi=le=gəʔ wɑ̃-pʰu-kɑ̃1 .
1984.wav|tɔ ʦʰɪʔ=pɐʔ=tu1=ɲi zi ɲiø-zɔ1 zəŋ-kʷɑ̃1 , ci=ʦz 'ləʔ zɑ̃=he ɦiø .
1985.wav|zoŋ soŋ-kɑ̃1 , ʦʰɪɲ1=pʰu ɪʔ=tɑ gəʔ ʦʰəʔ=tʰu=vəŋ-vəʔ tɑ̃=ʦoŋ1 kʰø1=tɔ .
1986.wav|de=zz ɦi=le zəŋ-cʰy dɑ-tu1-su di=fɑ̃ , lɐʔ dɑ̃-zɔ1 i=zi ɦe-zz he=tʰe .
1987.wav|zɑ̃=he ciɑ ve-ɦioŋ , ʦz=iɔ1 zz ɪʔ=pɐʔ=loʔ-səʔ ɲi=zi kʰe=bu=i ɦɤ fɐʔ-səŋ1 gəʔ pi-ho .
1988.wav|zɑ̃=he kʰe=bu=i ɦɤ , ʦoŋ1=si1 ɦioŋ-ɦəʔ , ci1=sɤ1 pɪɲ1 ɕioʔ , ɦɪɲ=zəŋ 'ləʔ kʰʷø tɑ=gəʔ vəŋ-ho vəŋ-we .
1989.wav|tɑ̃=zz , kʷəʔ=ɦo , cɪɲ1-ɕi , tʰoŋ1=zoʔ siɔ-səʔ , ly-ɦɪɲ=ku1=cʰioʔ , ze=zz siã1=tɑ̃ ly-ɦɪɲ gəʔ .
199.wav|ŋu lɔ sɑ du=gəʔ , zoʔ=tʰi1 ɦiɑ=li kʰʷəŋ vɐʔ zɐʔ .
1990.wav|tu1=zz vəŋ-ho he=nɐʔ pɐʔ=ʦʰø1 , ci=ʦoʔ , ʦʰəʔ=pe , ɲy-loʔ , loŋ=dɑ̃ sã1=wəʔ .
1991.wav|tɑ̃=cɪɲ1 , he=pʰɑ vəŋ-ho ʦəŋ1=lɐʔ ʦz=zəʔ sɪɲ1-ɦəʔ wəʔ=lɪʔ fɐʔ=ɦiã kʷɑ̃1-dɑ .
1992.wav|dɑ zɑ̃=he , fɑ̃-ɦi gəʔ cʰi=pʰɑ ɦɑ-dɑ , piɔ ɦi-liɔ ʦoŋ1=si1 ciɔ1-we .
